"But we had paid for bluetooth, and there was none.","1","['bluetooth']","['negative']"
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.","2","['LG notebook service center', 'hinge']","['neutral', 'negative']"
"My daughter uses it for games, email, facebook, pictures and music.","1","['games']","['neutral']"
"It is always reliable, never bugged and responds well.","1","['responds']","['positive']"
"After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.","2","['motherboard', 'motherboard']","['negative', 'neutral']"
"It was slow, locked up, and also had hardware replaced after only 2 months!","1","['hardware']","['negative']"
"they had to replace the motherboard in April","1","['motherboard']","['negative']"
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.","1","['use']","['positive']"
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.","3","['representive at Microsoft', 'system', 'XP']","['negative', 'negative', 'positive']"
"I love WIndows 7 which is a vast improvment over Vista.","2","['WIndows 7', 'Vista']","['positive', 'negative']"
"Keyboard is great, very quiet for all the typing that I do.","1","['Keyboard']","['positive']"
"Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.","1","[""Dell's customer disservice""]","['negative']"
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.","2","['cooling system', 'use']","['negative', 'neutral']"
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.","1","['quad core I7']","['positive']"
"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.","1","['sales associate']","['positive']"
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;","2","['system', 'Windows applications']","['positive', 'neutral']"
"You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.","1","['virus program']","['negative']"
"It weighed like seven pounds or something like that.","2","['weighed', 'seven pounds']","['neutral', 'neutral']"
"2 months later, the battery went.","1","['battery']","['negative']"
"You may need to special order a bag.","1","['bag']","['neutral']"
"It's color is even cool.","1","['color']","['positive']"
"keys are all in weird places and is way too large for the way it is designed.","2","['keys', 'designed']","['negative', 'negative']"
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.","2","['style', 'speed']","['positive', 'positive']"
"The keyboard feels good and I type just fine on it.","1","['keyboard']","['positive']"
"I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.","1","['mousepad']","['neutral']"
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.","1","['battery']","['negative']"
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple","3","['sales', 'service', 'DELL SUPPORT']","['positive', 'positive', 'positive']"
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.","2","['hard drive', 'motherboard']","['neutral', 'neutral']"
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.","3","['speed', 'construction quality', 'longevity']","['positive', 'positive', 'positive']"
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","3","['keyboard', 'keys', 'configuration of ""extra key""']","['positive', 'positive', 'positive']"
") I also tried the touch pad and compared it to other netbooks in the store.","1","['touch pad']","['neutral']"
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.","2","['use', 'security']","['positive', 'positive']"
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.","2","['use', 'work']","['negative', 'negative']"
"lots of preloaded software.","1","['preloaded software']","['positive']"
"I wish it had a webcam though, then it would be perfect!","1","['webcam']","['negative']"
"My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.","2","['vga port', 'screen']","['positive', 'neutral']"
"Another thing I might add is the battery life is excellent.","1","['battery life']","['positive']"
"One drawback, I wish the keys were backlit.","1","['keys']","['negative']"
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.","1","['software']","['positive']"
"I wish the volume could be louder and the mouse didnt break after only a month.","2","['volume', 'mouse']","['negative', 'negative']"
"I play a lot of casual games online, and the touchpad is very responsive.","1","['touchpad']","['positive']"
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.","1","['boots up']","['positive']"
"It caught a virus that completely wiped out my hard drive in a matter of hours.","1","['hard drive']","['negative']"
"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","1","['look and feel standpoint']","['positive']"
"the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.","3","['safari', 'safari', 'Mozzilla firfox']","['negative', 'negative', 'positive']"
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.","3","['Bluetooth', 'fingerprint reader driver', 'software']","['negative', 'negative', 'negative']"
"Great battery, speed, display.","3","['battery', 'speed', 'display']","['positive', 'positive', 'positive']"
"The delivery was fast, and I would not hesitate to purchase this laptop again.","1","['delivery']","['positive']"
"I've been impressed with the battery life and the performance for such a small amount of memory.","3","['battery life', 'performance', 'memory']","['positive', 'positive', 'negative']"
"It's applications are terrific, including the replacements for Microsoft office.","2","['applications', 'Microsoft office']","['positive', 'positive']"
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.","4","['Resolution', 'appearance', 'cooling system', 'graphics card']","['negative', 'negative', 'negative', 'negative']"
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.","4","['built-in webcam', 'built-in mic', 'cam', 'mic']","['negative', 'negative', 'negative', 'negative']"
"Is this partially due to the fact that it is running Windows Vista?","1","['Windows Vista']","['neutral']"
"  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.","5","['board', 'connector', 'power supply', 'warrenty', 'power supply']","['negative', 'negative', 'negative', 'negative', 'negative']"
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!","2","['works', 'ethernet']","['positive', 'positive']"
"Mostly I love the drag and drop feature.","1","['drag and drop feature']","['positive']"
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?","1","['webcam']","['negative']"
"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.","1","['sales tax']","['positive']"
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.","4","['software packages', 'iWork', 'GarageBand', 'iMovie']","['positive', 'positive', 'positive', 'positive']"
"The screen is very large and crystal clear with amazing colors and resolution.","3","['screen', 'colors', 'resolution']","['positive', 'positive', 'positive']"
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.","1","['monitor']","['negative']"
"The brand of iTunes has just become ingrained in our lexicon now, but keep in mind that Apple started it all.","1","['iTunes']","['positive']"
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.","2","['Size', 'external monitor']","['negative', 'neutral']"
"Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.","2","['base installation', 'software']","['negative', 'negative']"
"  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).","1","['manuf']","['negative']"
"The display is incredibly bright, much brighter than my PowerBook and very crisp.","1","['display']","['positive']"
"The AMD Turin processor seems to always perform so much better than Intel.","2","['AMD Turin processor', 'Intel']","['positive', 'negative']"
"  After that the said it was under warranty.","1","['warranty']","['neutral']"
"The start menu is not the easiest thing to navigate due to the stacking.","2","['start menu', 'navigate']","['negative', 'negative']"
"Only thing I would want to add to this is an internal bluray read/write drive.","1","['bluray read/write drive']","['negative']"
"The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.","1","['service tech']","['negative']"
"The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.","1","['tech store']","['negative']"
"Really like the textured surface which shows no fingerprints.","1","['surface']","['positive']"
"The screen is bright and the keyboard is nice;","2","['screen', 'keyboard']","['positive', 'positive']"
"But the machine is awesome and iLife is great and I love Snow Leopard X.","2","['iLife', 'Snow Leopard X']","['positive', 'positive']"
"High price tag, however.","1","['price tag']","['negative']"
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.","1","['Mac OS']","['positive']"
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.","1","['sound output quality']","['negative']"
"I custom ordered the machine from HP and could NOT understand the techie due to his accent.","1","['techie']","['negative']"
"It is easy to use and lightweight.","1","['use']","['positive']"
"I went to Toshiba online help and found some suggestions to fix it.","1","['Toshiba online help']","['positive']"
"They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).","1","['service life']","['positive']"
"If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.","2","['ports', 'processor']","['neutral', 'neutral']"
"This laptop is a great price and has a sleek look.","2","['price', 'look']","['positive', 'positive']"
"I especially like the keyboard which has chiclet type keys.","2","['keyboard', 'keys']","['positive', 'positive']"
"Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.","1","['quality']","['negative']"
"For the not so good, I got the stock screen - which is VERY glossy.","1","['stock screen']","['negative']"
"The gray color was a good choice.","1","['gray color']","['positive']"
"I would like to have volume buttons rather than the adjustment that is on the front.","1","['volume buttons']","['negative']"
"The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.","2","['processor', 'computing']","['negative', 'negative']"
"I bought a protector for my key pad and it works great :)","2","['protector', 'key pad']","['neutral', 'positive']"
"The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!","1","['magnetic plug-in power charging power cord']","['positive']"
"It seems they could have updated XP and done without creating Vista.","2","['XP', 'Vista']","['positive', 'negative']"
"  It is easy to use, fast and has great graphics for the money.","2","['use', 'graphics']","['positive', 'positive']"
"I like how the Mac OS is so simple and easy to use.","2","['Mac OS', 'use']","['positive', 'positive']"
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.","1","['support']","['positive']"
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.","1","['Geek Squad']","['positive']"
"only good thing is the graphics quality.","1","['graphics quality']","['positive']"
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.","2","['Appleworks', 'browser']","['negative', 'negative']"
"The paint wears off easily due to the keyboard being farther back than usual.","2","['paint', 'keyboard']","['negative', 'negative']"
"I had purchased it from a major electronics store and took it to their service department to find out what the problem was.","1","['service department']","['neutral']"
"The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.","2","['warrenty', 'warrentys']","['positive', 'negative']"
"I always use a backup hard disk to store important files at all times.","1","['hard disk']","['neutral']"
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!","2","['running', 'CD drive']","['negative', 'negative']"
"But the screen size is not that bad for email and web browsing.","2","['screen size', 'web browsing']","['positive', 'neutral']"
"Once I removed all the software the laptop loads in 15-20 seconds.","2","['software', 'loads']","['negative', 'neutral']"
"On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.","3","['trackpad', 'external mouse', 'trackpad']","['negative', 'neutral', 'negative']"
"This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.","1","['games']","['negative']"
"Obviously one of the most important features of any computer is the ""human interface.","2","['features', 'human interface']","['neutral', 'neutral']"
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).","2","['Software', 'inbuilt applications']","['negative', 'negative']"
"The body is a bit cheaply made so it will be interesting to see how long it holds up.","1","['body']","['negative']"
"The i5 blows my desktop out of the water when it comes to rendering videos.","1","['i5']","['negative']"
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.","2","['antivirus software', 'firewall']","['neutral', 'neutral']"
"Am very glad I bought it, great netbook, low price.","1","['price']","['positive']"
"The Apple team also assists you very nicely when choosing which computer is right for you :)","1","['Apple team']","['positive']"
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).","4","['Vista', 'Vista', 'Vista', 'operating system']","['negative', 'negative', 'negative', 'neutral']"
"The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.","1","['video chat']","['negative']"
"That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.","1","['mouse']","['positive']"
"Fan vents to the side, so no cooling pad needed, great feature!","3","['Fan', 'cooling pad', 'feature']","['positive', 'neutral', 'positive']"
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.","1","['software']","['positive']"
"Wasted me at least 8 hours of installation time.","1","['installation time']","['negative']"
"It has far exceeded my expectations for power, storage, and abilitiy.","3","['power', 'storage', 'abilitiy']","['positive', 'positive', 'positive']"
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.","2","['feature', 'spotlight search']","['positive', 'positive']"
"My wireless system would not recognize Windows 7 and I couldn't get online to find out why.","2","['wireless system', 'Windows 7']","['negative', 'neutral']"
"I am enjoying it and the quality it provides is great!","1","['quality']","['positive']"
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","2","['battery life', 'speed']","['positive', 'positive']"
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!","2","['OS', 'OS']","['positive', 'positive']"
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.","2","['iTunes', 'program']","['positive', 'positive']"
"Mac is not made for gaming.","1","['gaming']","['negative']"
"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.","1","['battery']","['negative']"
"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.","2","['Apple support', 'techs']","['positive', 'positive']"
"But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.","1","['adding the bluetooth']","['negative']"
"I need graphic power to run my Adobe Creative apps efficiently.","2","['graphic power', 'Adobe Creative apps']","['neutral', 'neutral']"
"the programs are esay to use and are quick to process this computer works like a charm.","2","['programs', 'use']","['positive', 'positive']"
"The materials that came with the computer did not include the right # anywhere.","1","['materials']","['negative']"
"It does not even have the software to play a dvd now.","1","['software']","['negative']"
"Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.","2","['Tech support', 'power supply']","['positive', 'negative']"
"HOW DOES THE POWER SUPPLY NOT WORK!!!","1","['POWER SUPPLY']","['negative']"
"Sells for the same as a netbook without sacrificing size.","1","['size']","['positive']"
"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.","1","['warranty']","['neutral']"
"Windows XP SP2 caused many problems on the computer, so I had to remove it.","1","['Windows XP SP2']","['negative']"
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.","4","['Windows 7 Ultimate', 'Bluetooth', 'Fingerprint reader', 'software']","['negative', 'negative', 'negative', 'negative']"
"None of the techs at HP knew what they were doing.","1","['techs at HP']","['negative']"
"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.","1","['video card']","['negative']"
"With awesome graphics and assuring security, it's perfect!","2","['graphics', 'security']","['positive', 'positive']"
"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.","1","['audio']","['negative']"
"I was disappointed when I realized that the keyboard doesn't light up on this model.","1","['keyboard']","['negative']"
"It runs perfectly.","1","['runs']","['positive']"
"The laptop was very easy to set up.","1","['set up']","['positive']"
"  Sometimes the screen even goes black on this computer.","1","['screen']","['negative']"
"I recommend for word processing and internet users.","2","['word processing', 'internet']","['positive', 'positive']"
"Since I've had this computer I've only used the trackpad because it is so nice and smooth.","1","['trackpad']","['positive']"
"A longer battery life would have been great - but it meets it's spec quite easily.","1","['spec']","['positive']"
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","4","['DVD burner', 'HD', 'graphics chip', 'components']","['positive', 'positive', 'positive', 'positive']"
"Its fast and another thing I like is that it has three USB ports.","1","['USB ports']","['positive']"
"The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.","1","['software']","['negative']"
"That system is fixed.","1","['system']","['neutral']"
"The computer itself was fast, ran smoothly, and had no problems.","1","['ran']","['positive']"
"Like the price and operation.","2","['price', 'operation']","['positive', 'positive']"
"The brand is tarnished in my heart.","1","['brand']","['negative']"
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.","4","['components', 'ground loop isolator', 'quality', 'price range']","['negative', 'neutral', 'negative', 'negative']"
"I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.","1","['warranty']","['neutral']"
"Once open, the leading edge is razor sharp.","1","['leading edge']","['negative']"
"Loaded with bloatware.","1","['bloatware']","['neutral']"
"Maximum sound isn't nearly as loud as it should be.","1","['Maximum sound']","['negative']"
"I loaded windows 7 via Bootcamp and it works flawlessly!","2","['windows 7', 'Bootcamp']","['positive', 'positive']"
"Great Laptop for the price, works well with action pack games.","3","['price', 'works', 'action pack games']","['positive', 'positive', 'neutral']"
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.","1","['price']","['negative']"
"I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.","1","['performance']","['negative']"
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","2","['twin packing', 'functions']","['positive', 'positive']"
"So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.","2","['look', 'after sales support']","['positive', 'negative']"
"I hate the display screen and I have done everything I could do the change it.","1","['display screen']","['negative']"
"I also like the acer arcade but these were reallythe only two things I liked about this laptop.","1","['acer arcade']","['positive']"
"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.","1","['customer support']","['positive']"
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.","2","['screen', 'cd drive']","['negative', 'negative']"
"It runs very quiet too which is a plus.","1","['runs']","['positive']"
"but it  has a major design flaw.","1","['design']","['negative']"
"It was heavy,bulky, and hard to carry because of the size.","1","['size']","['negative']"
"The games included are very good games.","2","['games', 'games']","['neutral', 'positive']"
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.","1","['life']","['positive']"
"I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.","1","['warranty']","['negative']"
"Sometimes you really have to tap the pad to get it to worki","1","['pad']","['negative']"
"It's super fast and a great value for the price!","2","['value', 'price']","['positive', 'positive']"
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.","2","['linux based os', 'system performance']","['negative', 'negative']"
"A mac is very easy to use and it simply makes sense.","1","['use']","['positive']"
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.","2","['batteries', 'shipping carton']","['neutral', 'neutral']"
"It is so much easier to use","1","['use']","['positive']"
"There is no need to open a program first and the cliick open or import.","1","['program']","['positive']"
"It is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on PC's.","1","['virus protection']","['positive']"
"Three weeks after I bought the netbook, the screen quit working.","1","['screen']","['negative']"
